,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ENSG00000250430,0,0,0,0,0.0900219,0,0,0
ENSG00000250441,0,0,0,0,0,0,0,0
ENSG00000250453,0,0.0462254,0,0,0,0.0515294,0.0916437,0
ENSG00000250455,0,0,0,0,0,0,0,0
ENSG00000250461,0,0,0,0.128941,0,0,0.115338,0.115181
ENSG00000250470,0,0,0,0,0,0,0,0
ENSG00000250475,0,0,0,0,0,0,0,0
ENSG00000250481,0,0,0,0,0,0,0,0
ENSG00000250493,0.00692746,0,0.00813988,0.0217062,0.0150642,0.0158808,0.0214124,0.00693031
ENSG00000250497,0.00988433,0.0673824,0.0450229,0.0287864,0.0110486,0.0327839,0.0436707,0.0474205
ENSG00000250500,0,0,0,0,0,0,0,0
ENSG00000250501,0,0.034936,0.182032,0,0.052239,0,0.077774,0
ENSG00000250505,0,0,0,0,0,0,0,0
ENSG00000250509,0,0,0,0.0719405,0.147942,0,0,0
ENSG00000250511,0,0,0,0.0348528,0.108507,0.0381264,0.0339072,0.166615
ENSG00000250515,0,0,0,0,0,0,0,0
ENSG00000250516,0,0,0,0,0,0,0,0
ENSG00000250519,0.754832,1.05925,1.14248,0.450508,0.649305,0.373541,0.697164,0.989825
ENSG00000250522,0,0,0,0,0,0,0,0
ENSG00000250523,0,0,0,0,0,0,0,0
ENSG00000250524,0,0,0,0,0,0,0,0
ENSG00000250532,0,0,0,0,0,0,0,0
ENSG00000250546,0.279459,0.364059,0.376939,0.243,0.329396,0.413973,0.258856,0.483004
ENSG00000250547,0,0,0,0,0,0,0,0
ENSG00000250564,0.0867617,0.0792645,0,0,0,0,0,0
ENSG00000250567,0,0,0,0.117823,0,0,0,0
ENSG00000250568,0,0,0,0,0,0,0,0
ENSG00000250574,0,0,0,0,0,0,0,0
ENSG00000250575,1.3329,1.42916,0.93248,0.52994,0.848613,1.20608,1.64876,1.48032
ENSG00000250577,0.322484,0.300286,0,0,0,0,0.845637,0
ENSG00000250583,0,0,0,0,0,0,0,0
ENSG00000250592,0,0,0,0,0,0,0,0
ENSG00000250596,0,0,0,0,0,0,0,0
ENSG00000250597,0,0,0,0,0,0,0,0
ENSG00000250602,0.183454,0,0,0.228988,0.0382026,0,0.308036,0
ENSG00000250603,0,0,0,0,0,0,0,0
ENSG00000250604,0,0,0.20542,0,0,0,0,0
ENSG00000250611,0,0,0,0,0,0,0,0
ENSG00000250613,0,0,0,0,0,0,0,0
ENSG00000250614,0,0,0,0,0,0,0,0
ENSG00000250615,0,0,0,0,0,0,0,0.195723
ENSG00000250619,0,0,0,0,0,0,0,0
ENSG00000250622,0,0,0,0,0,0,0,0
ENSG00000250623,0,0,0,0,0,0,0,0
ENSG00000250625,0,0,0,0,0,0,0,0
ENSG00000250626,0,0,0,0.0487625,0,0,0,0
ENSG00000250629,0,0,0,0,0,0,0,0
ENSG00000250636,0,0,0,0,0,0,0,0
ENSG00000250637,0,0,0,0,0,0,0,0
ENSG00000250642,0,0,0,0,0,0,0,0
ENSG00000250643,0,0,0,0.308687,0,0,0,0.143265
ENSG00000250644,0.49065,1.90646,0.904437,0.576865,0.522536,0.718113,0.71304,0.906811
ENSG00000250645,0.742839,0.685902,0,0,0.774276,0.404656,0.718113,1.6043
ENSG00000250654,8.49008,8.84341,7.00239,6.88133,12.7224,3.63712,6.86651,8.08663
ENSG00000250657,0,0,0,0,0,0,0,0
ENSG00000250658,0,0,0,0,0,0,0,0
ENSG00000250659,0,0,0,0.374755,0,0.318283,0.394078,0.671135
ENSG00000250665,0,0,0,0,0,0,0,0
ENSG00000250669,0.375868,0.691789,0.455125,0.391318,0,0.204009,0,0.540598
ENSG00000250670,0,0,0,0,0,0,0,0
ENSG00000250674,0,0,0,0,0,0,0,0
ENSG00000250678,0,0,0,0,0,0,0,0
ENSG00000250685,0,0,0,0,0,0,0,0
ENSG00000250696,0,0,0,0,0,0,0,0
ENSG00000250697,0.318082,0.0560126,0,0,0.381544,0,0.0878481,0
ENSG00000250699,0,0,0,0,0,0,0,0
ENSG00000250703,0,0,0,0,0,0,0,0
ENSG00000250706,0,0,0,0,0,0,0,0
ENSG00000250712,0,0,0,0,0,0,0,0
ENSG00000250714,0,0,0,0.0633287,0,0,0.0452961,0
ENSG00000250723,0,0,0,0,0,0,0,0.0426532
ENSG00000250726,0,0,0,0,0.0987918,0,0,0
ENSG00000250727,0,0,0,0,0,0,0,0
ENSG00000250734,0.238817,0,0,0.248912,0,0,0,0
ENSG00000250735,0,0,0,0,0,0,0,0
ENSG00000250740,0,0,0,0,0,0,0,0
ENSG00000250746,0,0,0,0,0,0,0,0
ENSG00000250747,0,0,0,0,0,0,0,0
ENSG00000250748,0.155443,0.0685079,0,0,0,0,0,0
ENSG00000250749,0,0,0,0,0,0,0,0
ENSG00000250751,0,0,0.128516,0.223705,0,0,0,0
ENSG00000250753,0,0,0,0,0,0,0,0
ENSG00000250762,0,0,0,0,0,0,0.388169,0
ENSG00000250764,0,0.236468,0.154171,0,0.0695212,0.0731419,0.13006,0.0640463
ENSG00000250767,0,0,0,0,0,0.0948986,0,0
ENSG00000250769,0,0,0,0,0,0.0809003,0,0
ENSG00000250770,1.13156,1.82882,1.72918,1.78344,2.3424,1.72229,1.71327,1.4629
ENSG00000250771,0,0,0,0,0,0.0174712,0,0.0206504
ENSG00000250775,0.0468249,0.0850659,0,0,0,0,0,0
ENSG00000250777,0,0,0,0.0342312,0,0.0749071,0,0
ENSG00000250778,0,0,0,0,0,0,0,0
ENSG00000250781,0,0.043204,0,0,0.204412,0.0538606,0,0
ENSG00000250790,0.0275635,0,0.0325995,0.0933423,0.0321514,0.173449,0.0285877,0.154583
ENSG00000250791,0.55956,1.20551,1.13293,1.5585,3.30432,0.40633,1.62222,1.43196
ENSG00000250796,2.74361,5.35613,0.677494,0.288954,0.563927,1.17462,1.03814,0.518284
ENSG00000250803,0.0496708,0.0451369,0.117637,0,0,0,0,0
ENSG00000250806,0,0,0,0,0,0,0,0
ENSG00000250815,0,0,0,0.096041,0.0981622,0,0,0
ENSG00000250820,0,0.050076,0,0.113872,0,0.0607947,0.0540079,0.0533651
ENSG00000250829,0.134071,0,0,0,0,0,0,0
ENSG00000250831,0,0.43681,0,0,0,0,0,0
ENSG00000250838,2.72509,2.20028,5.15673,1.77766,2.13725,1.6766,2.64539,3.28075
ENSG00000250842,0,0,0,0,0,0,0,0
ENSG00000250848,0,0,0,0,0.0916791,0,0,0.0419352
ENSG00000250850,0,0,0,0,0,0,0,0
ENSG00000250855,0.2814,0.315427,0,0,0,0.155145,0.529216,0
ENSG00000250860,0,0,0,0,0,0,0,0
ENSG00000250863,0,0,0,0.00583187,0,0,0,0
ENSG00000250865,0,0,0.132266,0,0.234079,0,0.109101,0
ENSG00000250869,0.0272317,0,0,0,0,0.0620517,0,0.0271069
ENSG00000250874,0.900945,0.872151,0.669743,0.571272,0.541822,0.588204,0.642091,0.975335
ENSG00000250882,0,0,0,0,0,0,0,0
ENSG00000250886,0,0,0,0,0,0,0,0
ENSG00000250892,0,0,0,0,0,0,0,0
ENSG00000250893,0,0,0,0,0,0,0,0
ENSG00000250899,3.6194,3.77918,4.10099,3.5684,4.47631,3.6666,4.35954,4.54683
ENSG00000250906,0,0,0,0,0,0,0,0
ENSG00000250909,0,0,0,0,0,0,0.128434,0
ENSG00000250910,0,0.173057,0,0.240049,0,0,0.109927,0
ENSG00000250914,0,0,0,0,0,0,0,0
ENSG00000250917,3.92971,2.15166,1.7435,2.10895,2.60365,1.92381,3.58451,4.83771
ENSG00000250920,0,0,0,0,0,0,0,0
ENSG00000250923,0,0,0,0,0,0,0,0
ENSG00000250928,0,0,0,0,0,0,0,0
ENSG00000250934,0,0.0165698,0,0.0347378,0.0356279,0.0188263,0,0
ENSG00000250939,1.40989,0,0,0,0,0,0,0
ENSG00000250940,1.03563,0,0,0,0,0,0,0
ENSG00000250945,0.181291,0.331429,0,0.094398,0.0965218,0.202809,0.0900931,0.266752
ENSG00000250946,0,0,0,0,0,0,0,0
ENSG00000250948,1.00366,0.467886,0.643925,0.536512,0,0,0.457924,0
ENSG00000250950,0,0,0.301425,0.224845,0,0,0.579168,0
ENSG00000250954,0.105402,0.0955758,0.0829889,0.109576,0,0.0399356,0.0355156,0.174538
ENSG00000250955,0,0,0,0,0,0,0,0
ENSG00000250956,0,0,0,0,0,0,0,0
ENSG00000250957,0,0,0,0,0,0,0,0.0436821
ENSG00000250961,0,0,0,0,0,0,0,0
ENSG00000250962,0,0,0,0,0.134588,0,0,0
ENSG00000250969,0.0955363,0,0,0,0,0.10672,0,0
ENSG00000250971,0,0,0,0,0,0,0,0
ENSG00000250977,0,0,0,0,0,0,0,0
ENSG00000250978,0,0,0,0,0,0,0,0
ENSG00000250979,0.0148147,0.0669677,0.0174323,0,0,0,0.0301379,0.0295805
ENSG00000250983,0,0,0,0,0,0,0,0
ENSG00000250990,0,0,0,0,0,0,0,0
ENSG00000250992,0,0,0.0210263,0,0,0.0408081,0.0181487,0
ENSG00000250994,0,0,0,0,0,0,0,0
ENSG00000250999,0.174032,0.829607,1.12921,1.32842,1.13755,0.640947,0.566127,0.538824
ENSG00000251001,0,0,0,0,0,0,0,0
ENSG00000251002,0.161568,0.3105,0.142055,0.239733,0.292949,0.19079,0.249195,0.294638
ENSG00000251009,0,0,0,0,0,0,0,0
ENSG00000251012,0,0,0,0,0,0,0,0
ENSG00000251014,0,0,0,0,0,0,0,0
ENSG00000251017,0,0,0,0,0,0,0,0
ENSG00000251023,0.0285447,0.0387066,0.0168081,0.0890378,0.0773336,0.0489708,0.0580789,0.0997546
ENSG00000251031,0,0,0,0,0,0,0,0
ENSG00000251033,0,0,0,0,0,0,0,0
ENSG00000251034,0.295577,0,0.0972262,0.253746,0.115522,0.321294,0.521542,0.186341
ENSG00000251038,0,0,0,0,0,0,0,0
ENSG00000251048,0,0,0,0.124804,0.204971,0,0.235947,0
ENSG00000251054,0,0,0,0,0,0,0,0
ENSG00000251055,0,0,0,0,0,0,0,0
ENSG00000251062,0,0,0,0.473634,0,0,0,0
ENSG00000251066,0,0,0,0,0,0,0,0
ENSG00000251076,0,0.0729373,0,0,0,0,0,0
ENSG00000251080,0,0.516053,0,0,0,0,0.137335,0
ENSG00000251081,0,0,0,0,0,0,0,0
ENSG00000251093,0,0,0,0,0,0,0,0
ENSG00000251095,2.71128,2.05277,1.24172,0.406765,1.61323,2.31434,1.51586,1.37857
ENSG00000251099,0,0,0,0,0,0,0,0
ENSG00000251101,0,0,0,0,0,0,0,0
ENSG00000251113,0,0,0,0,0,0,0,0
ENSG00000251125,0,0,0,0,0,0,0,0.0551714
ENSG00000251126,0,0.0556872,0,0.063645,0,0,0,0
ENSG00000251127,0,0,0.0194593,0,0,0,0.016807,0
ENSG00000251131,0,0,0,0.0365556,0.0704755,0.0676737,0.355264,0.564456
ENSG00000251135,0,0,0,0.125303,0,0,0,0
ENSG00000251139,0.0946849,0,0,0.0986156,0,0,0,0
ENSG00000251143,0.0735445,0.113665,0.0123266,0.0326789,0.0454918,0.168057,0.0854235,0.11525
ENSG00000251144,0,0.3355,0,0,0,0,0,0
ENSG00000251148,0,0,0,0,0,0,0,0
ENSG00000251152,0,0.0400036,0.013015,0.0230967,0.0250153,0.0253419,0.0450842,0.0223659
ENSG00000251158,0,0,0,0,0,0,0,0
ENSG00000251161,0.248618,0.227012,0.214212,0.216866,0.130664,0.206646,0.321262,0.363813
ENSG00000251168,0,0,0,0.360623,0,0,0,0.319158
ENSG00000251171,0,0,0,0,0,0,0,0
ENSG00000251176,0,0,0,0,0,0,0,0
ENSG00000251177,0,0,0,0,0,0,0,0
ENSG00000251184,0,0.294031,0,0,0.358611,0,1.60032,0
ENSG00000251185,0.146482,0,0,0,0,0,0,0.141833
ENSG00000251186,0.0876542,0.16018,0,0,0,0,0,0
ENSG00000251187,0.373776,0,0,0,0.142191,0,0,0.101655
ENSG00000251188,0,0,0,0,0,0,0,0
ENSG00000251189,0,0,0,0,0,0,0,0
ENSG00000251193,0,0,0,0,0,0,0,0
ENSG00000251194,0,0,0,0,0,0,0,0
ENSG00000251196,0.0684654,0,0,0,0,0,0.0685145,0
ENSG00000251199,0.161251,0.0570122,0.219741,0.229775,0.110616,0.0501013,0.672008,0.29232
ENSG00000251200,0,0,0,0,0,0,0,0
ENSG00000251204,0,0,0,0,0,0,0,0
ENSG00000251205,0,0,0,0,0,0,0,0
ENSG00000251206,0,0,0,0,0,0,0,0
ENSG00000251211,0.31172,0.113518,0.147995,0,0,0.0703015,0.187519,0.0615502
ENSG00000251214,0,0,0,0,0,0,0,0
ENSG00000251216,0,0,0,0,0,0,0,0
ENSG00000251218,0,0,0,0,0,0,0,0
ENSG00000251228,0,0,0,0,0,0,0,0
ENSG00000251229,0,0.062237,0,0,0,0,0,0
ENSG00000251236,0,0,0,0,0,0,0,0
ENSG00000251239,0,0,0,0,0,0,0,0
ENSG00000251244,0.0330569,0.059932,0.0390267,0.0687289,0.0356666,0.0751956,0.0668744,0.13144
ENSG00000251246,0.522676,0.336986,0,0.394114,0.83234,0.639732,1.0049,0.391321
ENSG00000251248,0,0,0,0,0,0,0,0
ENSG00000251249,0.0171874,0.0647372,0.020233,0.0178608,0,0.078562,0.0874944,0.0514481
ENSG00000251250,0.301905,0.135319,0.38966,0.311041,0.282553,0.129774,0.416778,0.618797
ENSG00000251257,0,0,0,0,0,0,0,0
ENSG00000251259,0.84867,0.333419,0.142941,1.73898,0.391115,1.23937,1.47731,0.715228
ENSG00000251264,0,0,0,0,0,0,0,0
ENSG00000251278,0,0,0,0,0,0,0,0
ENSG00000251281,0,0,0,0,0,0.188426,0,0
ENSG00000251285,0,0,0,0,0,0,0,0
ENSG00000251286,0,0,0,0,0,0,0,0
ENSG00000251288,0,0,0,0,0,0,0,0
ENSG00000251293,0,0,0,0,0,0,0,0
ENSG00000251294,0,0,0,0,0,0,0,0
ENSG00000251309,0,0,0,0,0,0,0,0
ENSG00000251310,0,0,0,0,0,0.396542,0,0
ENSG00000251313,0,0,0,0,0,0,0,0
ENSG00000251314,0,0,0,0,0,0,0,0
ENSG00000251325,0,0,0,0,0,0,0,0
ENSG00000251330,0,0,0,0.264551,0.133987,0,0,0
ENSG00000251334,0,0,0,0,0,0,0,0
ENSG00000251338,0,0,0,0,0,0,0,0
ENSG00000251339,0.0482059,0.277583,0,0,0,0.164522,0.152282,0.325665
ENSG00000251342,0,0,0,0,0,0,0,0
ENSG00000251354,0,0,0,0.0737454,0,0,0,0
ENSG00000251357,0.58634,0,1.14409,1.79608,0.364128,0,0,0
ENSG00000251361,0,0,0,0,0,0,0,0
ENSG00000251364,0.158835,0.10638,0.35112,0.247088,0.160181,0.0860746,0.172448,0.226659
ENSG00000251367,0,0.184851,0,0,0,0,0,0
ENSG00000251374,0,0,0,0,0,0,0,0
ENSG00000251376,0,0,0,0,0,0,0,0
ENSG00000251377,0.157831,0,0,0,0,0,0,0
ENSG00000251378,0,0,0.151488,0.131488,0.266445,0,0,0
ENSG00000251379,0.253085,0.13275,0.390812,0.0966374,0.26923,0.190622,0.372012,0.294466
ENSG00000251388,0,0.17678,0.115443,0.100639,0,0.1079,0.095858,0
ENSG00000251391,0.096185,0.0879841,0,0,0.0488173,0,0.162959,0.0942309
ENSG00000251393,0,0.0415724,0,0,0,0,0,0
ENSG00000251401,0,0,0,0,0,0,0,0
ENSG00000251408,0,0,0.0127423,0,0.0237601,0,0,0.0358469
ENSG00000251409,0,0,0,0,0,0,0,0
ENSG00000251410,0,0,0.0312301,0.0144082,0,0,0.0277637,0
ENSG00000251411,0.0456676,0.124424,0,0,0,0,0,0.0905218
ENSG00000251413,0,0,0,0,0,0.111986,0,0.0982053
ENSG00000251414,0,0,0,0,0,0.13502,0,0
ENSG00000251416,0,0,0,0,0,0,0,0
ENSG00000251417,0,0.0244429,0.0670845,0.0580419,0.0884498,0.0926671,0.13615,0.0825966
ENSG00000251421,0,0,0,0,0,0,0,0
ENSG00000251423,0,0,0,0,0,0,0,0
ENSG00000251434,0,0,0,0,0,0,0,0
ENSG00000251438,0,0,0,0,0,0,0,0
ENSG00000251448,0,0,0,0,0,0,0,0
ENSG00000251452,0,0,0,0,0,0,0,0
ENSG00000251454,0,0.161021,0,0,0,0,0,0
ENSG00000251455,0.0178142,0.0161124,0,0.0185124,0.0578668,0.020353,0.0362065,0.195494
ENSG00000251456,0,0,0,0,0,0,0,0
ENSG00000251458,0.238763,0,0,0,0,0,0,0
ENSG00000251459,0,0.0657014,0,0,0.0400571,0.079194,0.0704029,0
ENSG00000251460,0,0,0,0,0,0,0.125373,0.0617287
ENSG00000251461,0,0,0,0,0,0,0,0
ENSG00000251467,0,0,0,0.0813535,0,0,0,0
ENSG00000251468,0.0686226,0.0622178,0.0405168,0.214017,0.185046,0.19505,0.0346928,0.136388
ENSG00000251471,0,0,0,0.123072,0,0,0,0
ENSG00000251473,0,0,0,0,0,0,0,0
ENSG00000251478,0,0,0,0,0,0,0,0
ENSG00000251484,0,0,0,0,0,0,0,0
ENSG00000251487,0,0,0,0,0,0,0,0
ENSG00000251488,0,0,0,0,0,0,0,0
ENSG00000251501,0,0,0,0,0,0,0,0
ENSG00000251508,0,0,0,0,0,0,0,0
ENSG00000251511,0,0,0,0,0,0,0,0
ENSG00000251516,0,0,0,0,0,0,0,0
ENSG00000251520,0,0.217902,0,0,0,0,0,0
ENSG00000251523,0,0,0,0,0,0,0,0
ENSG00000251527,0,0,0,0,0,0,0,0
ENSG00000251532,0,0.302682,0,0,0.0883972,0,0,0
ENSG00000251536,0,0,0,0,0,0.0268306,0,0
ENSG00000251537,0.0518235,0.0131265,0,0,0,0.0249623,0.0469848,0.0118055
ENSG00000251545,0,0,0,0.0459072,0,0,0,0
ENSG00000251548,0,0,0,0,0,0,0,0
ENSG00000251550,1.24768,2.63736,0.776651,1.32009,4.14982,1.32853,0.879768,2.05492
ENSG00000251555,0.154414,0.284589,0,0.483161,1.13414,0,0.301169,0
ENSG00000251556,0,0,0,0,0,0,0,0
ENSG00000251567,0.0610892,0,0,0,0.298291,0,0.120927,0
ENSG00000251569,1.52325,1.44858,1.22477,0.948128,0.970825,1.19615,2.0109,2.1764
ENSG00000251574,0,0,0,0,0,0,0,0
ENSG00000251579,0,0,0,0,0,0,0,0
ENSG00000251584,0.0382659,0,0,0,0,0,0.0386447,0.0379913
ENSG00000251585,0,0,0,0,0,0.148104,0,0.130198
ENSG00000251588,0,0,0,0,0,0,0,0
ENSG00000251598,0,0.0966183,0,0,0,0,0,0
ENSG00000251599,0,0,0,0,0,0,0,0
ENSG00000251600,0.254729,0.386737,0.181078,0,0.151972,0.318311,0,0.107268
ENSG00000251602,4.4799,5.91115,7.84907,6.19625,5.67183,4.88153,5.02615,3.66584
ENSG00000251605,0,0,0,0,0,0,0,0
ENSG00000251613,0,0,0,0.0461955,0.0585935,0,0,0
ENSG00000251615,0.0969122,0.150177,0.065152,0.187018,0.0900279,0.158364,0.169037,0.235024
ENSG00000251616,0,0,0,0,0,0,0,0
ENSG00000251618,0,0,0,0,0,0,0,0
ENSG00000251621,0,0,0,0.116272,0,0,0,0
ENSG00000251630,0,0,0,0,0,0,0,0
ENSG00000251639,0,0,0,0,0,0,0,0
ENSG00000251643,0,0,0,0,0,0,0,0
ENSG00000251647,0.0924198,0,0,0,0,0,0,0
ENSG00000251648,0,0,0,0,0,0,0,0
ENSG00000251652,0,0,0,0,0,0,0,0
ENSG00000251654,0,0,0,0,0,0,0,0
ENSG00000251660,1.52452,1.06873,1.46264,0.291699,3.11667,1.4766,2.74337,2.28418
ENSG00000251661,0.670168,0.422688,1.11053,1.86023,0.889737,2.72872,1.04119,1.7492
ENSG00000251665,0,0,0,0,0,0.0784305,0.12026,0
ENSG00000251668,0,0,0,0,0,0,0,0
ENSG00000251670,0,0,0,0,0,0,0,0
ENSG00000251675,0,0,0,0,0,0,0,0
ENSG00000251679,0,0,0,0,0,0,0,0
ENSG00000251680,0.188662,0.165003,0.045644,0.306851,0.35732,0.105111,0.381821,0.248514
ENSG00000251682,0,0,0,0,0,0,0.10217,0
ENSG00000251687,0,0,0,0,0,0,0,0
ENSG00000251689,0,0,0,0,0,0,0,0
ENSG00000251730,0,0,0,0,0,0,0,0
ENSG00000251735,0,0,0,0,0,0,0,0
ENSG00000251775,0,0,0,0,0,0,0,0
ENSG00000251818,0,0,0,0,0,0,0,0
ENSG00000251830,0,0,0,0,0,0,0,0
ENSG00000251867,0.170834,0.28372,0.369449,0.207168,0.21527,0.421557,0.461443,0.48167
ENSG00000251922,0,0,0,0,0,0,0,0
ENSG00000251974,0,0,0,0,0,0,0,0
ENSG00000252040,0,0,0,0,0,0,0,0
ENSG00000252045,0,0,0,0,0,0,0,0
ENSG00000252050,2.04775,0,0,0,4.11525,0,0,0
ENSG00000252122,0,0,0,0,0,0,0,0
ENSG00000252192,0,0,0,0,0,0,0,0
ENSG00000252228,0,0,0,0,0,0,0,0
ENSG00000252230,0,0,0,0,0,0,0,0
ENSG00000252236,1.71162,0,0,0,0,0,0,0
ENSG00000252274,3.63894,0,0,0,0,1.90193,0,0
ENSG00000252291,0,0,0,0,0,0,0,0
ENSG00000252329,0,0,0,0,0,0,0,0
ENSG00000252409,0,0,0,0,0,0,0,0
ENSG00000252427,0,0,0,0,0,0,0,0
ENSG00000252461,0,0,0,0,0,0,3.8179,0
ENSG00000252473,0,0,0,0,0,0,6.80946,0
ENSG00000252537,0,0,0,0,0,0,0,0
ENSG00000252677,1.13565,0,0,0,0,0,0,0
ENSG00000252682,0,0,0,0,0,0,0,0
ENSG00000252690,0.127473,0.152534,0.183973,0.337919,0.175719,0.19177,0.254813,0.260393
ENSG00000252693,0,0,0,0,0,0,0,0
ENSG00000252722,0,0,0,0,0,0,0,0
ENSG00000252762,0,0,0,0,0,0,0,0
ENSG00000252765,0,0,0,0,0,0,0,0
ENSG00000252774,0,0,0,0,0,0,0,0
ENSG00000252777,0,0,0,0,0,0,3.69263,0
ENSG00000252778,0,0,0,0,0,0,0,0
ENSG00000252800,0,0,0,0,0,0,0,0
ENSG00000252824,0,0,0,0,0,0,0,0
ENSG00000252868,0,0,0,0,0,0,0,0
ENSG00000252870,0,0,0,0,0,0,0,0
ENSG00000252992,0,1.32526,0,0,0,0,0,2.64259
ENSG00000253013,0,0,0,0,0,0,0,0
ENSG00000253047,0,2.24011,0,0,0,0,0,0
ENSG00000253072,0,0,0,0,0,0,0,0
ENSG00000253085,0,0,0,0,0,0,0,0
ENSG00000253092,0,0,1.05713,0,0,0,0,0
ENSG00000253100,0,0.10994,0,0,0,0,0,0
ENSG00000253102,0,0,0.0944533,0.247712,0,0,0.237341,0.234009
ENSG00000253105,0,0,0,0,0,0,0,0
ENSG00000253106,0.117693,0.0883913,0.0921411,0.142101,0.211566,0.089266,0.219206,0.136886
ENSG00000253108,0,0,0,0,0,0,0,0
ENSG00000253111,0,0,0,0,0,0,0,0
ENSG00000253112,0,0,0,0,0,0,0,0
ENSG00000253114,0,0,0,0,0,0,0,0
ENSG00000253115,0,0,0,0,0,0,0,0
ENSG00000253116,0,0,0,0,0,0,0,0
ENSG00000253118,0,0,0,0,0,0,0,0
ENSG00000253121,0,0,0,0,0,0,0,0
ENSG00000253123,2.70255,2.65847,4.35997,3.56986,3.89922,3.03996,3.20552,3.84497
ENSG00000253125,0,0,0,0,0,0,0,0
ENSG00000253130,0,0,0,0,0,0,0,0
ENSG00000253134,0,0,0,0,0,0,0,0
ENSG00000253135,0,0,0,0,0,0,0,0
ENSG00000253139,0,0,0,0,0,0,0,0
ENSG00000253140,0,0,0,0,0.214038,0,0,0.0794587
ENSG00000253141,0,0,0,0.0283233,0,0,0,0
ENSG00000253142,0,0,0,0,0,0,0,0
ENSG00000253144,0,0,0,0,0,0,0,0
ENSG00000253147,0,0,0,0,0,0,0,0
ENSG00000253153,0.1407,0,0,0,0,0,0,0
ENSG00000253154,0,0.183412,0.0236311,0.0417682,0.167274,0.0345264,0.0409496,0
ENSG00000253155,0,0,0,0,0,0,0,0
ENSG00000253160,0,0,0,0,0,0,0,0
ENSG00000253163,0,0,0,0,0,0,0,0
ENSG00000253164,0,0,0,0,0,0.0824026,0,0
ENSG00000253165,0,0,0,0,0,0.055832,0,0
ENSG00000253166,0,1.14886,4.88807,1.35127,0,0,0,1.13871
ENSG00000253168,0,0,0,0,0,0.0858823,0,0
ENSG00000253171,0,0,0,0,0,0,0,0
ENSG00000253172,0.134071,0,0,0.139791,0,0,0,0
ENSG00000253174,0,0,0,0,0,0,0,0
ENSG00000253175,0,0,0,0,0,0,0.206035,0.204815
ENSG00000253176,0,0,0,0,0.168725,0.0886911,0.157653,0
ENSG00000253177,0,0,0,0,0,0,0,0
ENSG00000253178,0,0,0,0,0,0,0,0
ENSG00000253180,0,0,0,0,0.691291,0,0.160506,0.159414
ENSG00000253181,0.0770193,0.0367794,0,0.160343,0.130956,0,0.153745,0.0402162
ENSG00000253182,0,0,0,0.230119,0,0,0,0
ENSG00000253183,0,0.0231679,0,0,0,0,0,0
ENSG00000253186,0,0,0,0.348307,0,0,0,0
ENSG00000253189,0,0,0,0,0,0,0,0
ENSG00000253190,0,0,0,0.0588904,0.184562,0.193945,0,0.301651
ENSG00000253194,0.0520614,0.0471449,0.0306925,0.0811681,0.0281317,0,0.0527734,0.0259188
ENSG00000253196,0,0,0,0,0,0,0,0
ENSG00000253197,0,0,0,0,0,0,0,0.108637
ENSG00000253198,0.285893,0,0,0,0,0,0,0
ENSG00000253200,0.512496,0.40365,0.389186,0.326413,0.376028,0.510176,0.453789,0.511442
ENSG00000253204,0,0,0,0,0,0,0,0
ENSG00000253205,0,0,0,0,0,0,0,0
ENSG00000253206,0,0,0,0,0,0,0,0
ENSG00000253207,0,0,0,0,0,0,0,0
ENSG00000253214,0.0451341,0,0,0.129179,0,0,0,0
ENSG00000253215,0,0,0,0,0,0,0,0
ENSG00000253216,0,0,0,0,0,0,0,0
ENSG00000253217,0,0,0,0.12072,0,0,0,0
ENSG00000253220,0,0.0288824,0,0,0,0,0,0
ENSG00000253223,0.068047,0.164506,0.0267506,0,0.0246001,0.0518324,0,0.0452344
ENSG00000253227,0.186512,0.114679,0.0782933,0.0626787,0.183405,0,0.0915684,0.336315
ENSG00000253235,0.0470322,0.0711692,0,0.097816,0,0.106546,0.142114,0.139795
ENSG00000253237,0,0,0,0,0,0,0,0
ENSG00000253238,0.0655103,0.0596692,0,0,0,0.0803314,0.230686,0.0999251
ENSG00000253252,0,0,0,0,0,0,0,0
ENSG00000253256,0.0926212,0,0,0.0964607,0,0,0.184004,0
ENSG00000253258,0,0.0648041,0,0,0,0.159945,0,0
ENSG00000253263,0,0.110197,0,0,0,0,0,0.116981
ENSG00000253266,0,0,0,0,0,0,0,0
ENSG00000253270,0,0,0,0,0,0,0,0
ENSG00000253271,0,0,0,0,0,0,0,0
ENSG00000253273,0,0,0,0,0,0,0,0
ENSG00000253282,0,0,0,0,0,0,0,0
ENSG00000253284,0.00815435,0.0295326,0,0,0.0177061,0.00934329,0,0.0326987
ENSG00000253286,0,0,0,0,0,0,0,0
ENSG00000253287,0,0,0,0,0,0,0,0
ENSG00000253288,0,0,0.0318286,0,0,0,0,0
ENSG00000253290,0,0,0,0,0,0,0,0
ENSG00000253295,0,0,0,0,0,0,0,0
ENSG00000253297,0,0,0,0,0,0,0,0
ENSG00000253300,0,0,0,0,0,0,0,0
ENSG00000253307,0.387974,1.07474,0.943395,0.405319,0.201802,0.421851,1.12246,0.743189
ENSG00000253308,0,0,0,0,0,0,0,0
ENSG00000253312,0,0,0,0,0,0,0,0
