,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
ENSG00000256339,0,0,0,0,0,0
ENSG00000256341,0,0,0.152737,0,0.516932,0.602898
ENSG00000256343,0,0.039211,0,0.0368255,0,0
ENSG00000256346,0,0,0,0,0,0
ENSG00000256349,0,0.784146,0,0.24603,0.567914,9.07E-05
ENSG00000256350,0,0,0,0,0,1.03873
ENSG00000256351,1.71884,0.621019,1.37653,0.310543,0,0
ENSG00000256361,1.17441,0,0.466832,0,0.395548,0
ENSG00000256364,0.154865,0,0.152737,0,0,0
ENSG00000256381,0,1.41075,0.769325,0.280246,0.390576,0.151866
ENSG00000256389,0.03273,0.0889907,0.191374,0.0584413,0.107658,0.155253
ENSG00000256399,0,0,0,0,0,0
ENSG00000256407,0.317232,0.34988,0.638082,0.334984,0.250818,0.388243
ENSG00000256417,0,0,0,0.20668,0,0
ENSG00000256427,0,0.154985,0.167247,0,0,0
ENSG00000256433,0,0,0,0,0,0
ENSG00000256440,0,0,0,0,0,0
ENSG00000256442,0.172814,0.420092,0.170686,0.466029,0,0.506453
ENSG00000256443,0.153057,0.104026,0.0746165,0.0683417,0.0314866,0.109028
ENSG00000256448,0.955635,0,0.482366,0,0,0.484436
ENSG00000256450,0,0,0,0,0,0
ENSG00000256452,0,2.19406,3.15522,0,0,0
ENSG00000256458,0.240014,0.43393,0.238679,0,0,0
ENSG00000256469,0,0,0,0,0,0
ENSG00000256481,0.224395,0,0,0.201114,0.0931443,0
ENSG00000256482,0,0,0,0,0,0
ENSG00000256496,0,0,0,0,0,0
ENSG00000256500,3.16196,2.76676,4.17691,5.13168,5.44442,4.18626
ENSG00000256504,0.238273,0.43078,0,0.214947,0,0
ENSG00000256512,0,0,0,0,0,0
ENSG00000256513,0,0,0,0,0,0
ENSG00000256514,4.77091,4.38205,4.11444,7.35116,10.804,5.50507
ENSG00000256533,0,0,0,0,0,0
ENSG00000256538,0.794872,0.359746,0.528076,0.209968,0.193757,0.16803
ENSG00000256540,0.0709167,0,0,0,0.117184,0.134886
ENSG00000256542,0.724719,0.49428,0.452478,1.04507,1.03312,0.951101
ENSG00000256546,6.56957,6.94053,6.8597,7.1789,7.27689,8.26012
ENSG00000256552,0,0,0,0.274266,0.232685,0.303346
ENSG00000256564,0,0,0,0,0,0
ENSG00000256566,1.18717,2.15418,1.15878,4.09347,1.41912,3.18282
ENSG00000256568,0,0,0.138121,0,0,0.12774
ENSG00000256569,0,0,0,0,0,0
ENSG00000256571,0.375804,0.163733,0,0.162846,0,0.531623
ENSG00000256588,0.273362,0.123633,0.134525,0.122845,0.113809,0.397547
ENSG00000256591,15.4687,19.66,16.6335,20.9826,13.0501,18.9842
ENSG00000256594,1.44172,1.73974,1.92288,1.88818,2.98944,2.46582
ENSG00000256596,0,0,0.02971,0.027221,0,0
ENSG00000256603,0.905057,0,0.148715,0,0.251648,0
ENSG00000256609,0,0,0,0,0,0
ENSG00000256615,0,0.139046,0,0,0,0
ENSG00000256616,0.0202588,0.191994,0.149319,0.0975356,0.0878583,0.0968257
ENSG00000256625,0.482886,0.0726749,0.152369,0.511481,0.359531,1.13864
ENSG00000256627,0,0,0,0,0,0
ENSG00000256632,0.643817,1.93766,0.810046,0.246834,1.66509,0.318201
ENSG00000256646,7.53452,9.75324,8.03842,9.03958,7.21416,8.17695
ENSG00000256651,0.409191,0.0740975,0,0.3662,0.0676997,0.235321
ENSG00000256654,0,0,0,0,0,0.0865181
ENSG00000256657,0.25231,0.152289,0,0.0752753,0,0.0806473
ENSG00000256658,5.74751,5.36403,2.01701,0,0,0
ENSG00000256663,2.2008,2.24504,2.12271,2.24593,1.67241,1.96604
ENSG00000256664,22.5496,19.4123,22.2623,32.7875,34.0264,39.2698
ENSG00000256673,3.66396,2.16534,4.50961,2.40477,3.1502,3.70513
ENSG00000256674,0,0,0.146362,0,0.0823747,0
ENSG00000256678,0,0,0.206038,0,0,0
ENSG00000256682,0,0,0.402173,0,0,0.236245
ENSG00000256686,0.104825,0,0,0,0,0
ENSG00000256694,0.0680501,0,0.0665368,0,0,0.0650361
ENSG00000256705,0,0,0,0,0,0.142635
ENSG00000256712,1.1331,1.27977,1.13026,0,0,0
ENSG00000256723,0.0627629,0,0,0.056117,0,0.0599167
ENSG00000256732,0.165373,0.224593,0.16192,0.0740022,0.136817,0.317069
ENSG00000256733,0,0,0,0,0,0
ENSG00000256734,0,0,0,0,0,0
ENSG00000256739,0,0,0,0,0,0
ENSG00000256747,0.371131,0.559608,0,0.110938,0.411391,0.239237
ENSG00000256774,0,0,0,0,0,0
ENSG00000256779,0.258418,0.376144,0.204448,0.231804,0,0
ENSG00000256789,0,0,0,0,0,0
ENSG00000256799,0,0,0.135703,0,0,0
ENSG00000256802,0.991316,0.777296,0.863324,1.04881,2.06964,1.30311
ENSG00000256803,0,0,0,0,0,0
ENSG00000256804,0,0,0,0,0,0
ENSG00000256810,0,0,0,0,0,0
ENSG00000256811,0,0,0,0,0,0.231311
ENSG00000256813,0,0,0,0,0,0
ENSG00000256814,0,0,0,0,0,0
ENSG00000256824,0,0,0,0,0.0242875,0.215407
ENSG00000256825,0,0,0,0,0,0
ENSG00000256827,0,0,0,0,0,0
ENSG00000256843,0,0,0,0,0,0
ENSG00000256861,0,0,0.419201,2.18E-06,1.80133,0
ENSG00000256884,0,0,0.455976,0,0,0
ENSG00000256894,2.5777,2.90403,1.88816,1.90852,3.00802,3.61204
ENSG00000256897,0,0,0,0,0.118985,0
ENSG00000256913,0,0,0,0,0,0
ENSG00000256915,0,0,0,0,0,0.325838
ENSG00000256916,0,0,0,0,0,0
ENSG00000256923,0.485356,0,0.241412,0,0,0
ENSG00000256928,0,0,0,0,0,0
ENSG00000256943,1.96267,0.930706,0.897211,0.709751,1.32829,1.24864
ENSG00000256947,0,0,0,0,0,0
ENSG00000256948,0,0,0,0.135472,0,0
ENSG00000256950,0.310774,0,0.0833705,0.0419436,0,0.335359
ENSG00000256951,1.82113,1.06167,2.8797,3.68397,4.98844,2.83636
ENSG00000256955,0.210342,0.380714,0.309574,0.376908,0.436185,0.405166
ENSG00000256963,0,0,0,0,0,0
ENSG00000256966,1.33342,0.986862,1.06669,2.16683,1.42523,1.15749
ENSG00000256967,2.09079,1.09125,1.39949,0.891004,0.913728,0.315001
ENSG00000256969,0,0,0.168981,0,0,0
ENSG00000256972,0,0,0,0,0,0
ENSG00000256973,1.66539,1.50698,0.544983,1.59202,1.65886,0.96351
ENSG00000256975,0,0,0,0,0,0
ENSG00000256981,0.256364,0.232098,0.167384,0,0.0707224,0.163933
ENSG00000256982,0,0,0,0,0,0
ENSG00000256984,7.65809,7.54863,7.61768,7.21686,3.71238,8.3979
ENSG00000256987,0.15734,0.0957542,0.0512049,0,0,0.0499606
ENSG00000256988,0,0.0223798,0,0,0.0202828,0
ENSG00000256995,0.17276,0.331092,0.156576,0.285127,0.209376,0.344551
ENSG00000257000,0,0,0,0,0,0
ENSG00000257002,0,0,0,0,0.0904056,0.105
ENSG00000257004,0,0,0.670596,0,0,0
ENSG00000257005,0,0,0,0,0,0
ENSG00000257009,0,0,0,0,0,0
ENSG00000257012,0,0,0,0,0,0
ENSG00000257022,0,0.160573,0,0,0,0.173653
ENSG00000257027,0.5725,0.762857,0.556685,0.558706,0.603874,0.475721
ENSG00000257042,0.202983,0,0,0.181828,0,0
ENSG00000257045,0,0,0,0,0,0
ENSG00000257058,0.552612,0,0,0,0.467373,0
ENSG00000257060,0.0417979,0.037875,0.0955113,0,0,0
ENSG00000257062,0,0,0,0,0,0
ENSG00000257065,0.157926,0.286039,0,0.49973,0.243442,0
ENSG00000257070,0,0,0,0,0,0
ENSG00000257083,0.191415,0,0.7676,0.0850674,0.0793023,0.183294
ENSG00000257086,2.12787,2.26118,1.7227,2.23667,2.22234,3.7325
ENSG00000257087,0,0,0,0,0,0
ENSG00000257095,0,0,0,0,0,0
ENSG00000257096,0.411969,0,0,0,0,0
ENSG00000257120,0,0.595783,0,0.177239,0,0
ENSG00000257121,0,0,0,0,0,0
ENSG00000257129,0,0,0,0,0,0
ENSG00000257142,6.83041,3.79728,1.41709,1.24996,9.95751,2.73746
ENSG00000257146,0,0,0,0,0,0
ENSG00000257159,0.271617,0,0,0.121855,0.113071,0.131649
ENSG00000257165,0,0,0,0,0,0
ENSG00000257169,0,0,0,0,0,0
ENSG00000257171,0,0,0,0,0,0
ENSG00000257175,0,0,0,0,0,0
ENSG00000257176,0.436977,0.458552,0.691085,0.557437,0.428708,1.3352
ENSG00000257178,0.413925,0.281397,0.453503,0.369418,0.233817,0.465652
ENSG00000257180,0.234696,0.0942485,0,0,0,0
ENSG00000257181,0.207542,0,0,0,0.0853726,0.197965
ENSG00000257183,0,0,0,0,0,0
ENSG00000257184,0.498633,1.3209,0.596924,1.49398,1.01523,0
ENSG00000257191,0,0.626727,0.226764,0,0.191756,0.222841
ENSG00000257194,0,0.0757461,0,0,0,0
ENSG00000257199,0,0,0,0,0,0
ENSG00000257202,0,0,0,0,0,0
ENSG00000257207,0,0,0,0,0,0
ENSG00000257221,0,0,0.0367336,0,0,0
ENSG00000257222,0,0,0,0,0,0
ENSG00000257225,0.126696,0,0.0945897,0.151706,0.1197,0
ENSG00000257226,0,0.0536346,0.0578457,0,0,0
ENSG00000257228,0,0,0,0,0,0
ENSG00000257239,0,0,0.251269,0.0608653,0.372172,0
ENSG00000257252,0.363485,0.985329,0.364594,0.656867,0.0823962,0.0607644
ENSG00000257253,0,0,0,0,0,0
ENSG00000257256,0,0,0,0,0,0
ENSG00000257258,0.445217,0.809126,0.373691,0.133251,0.137176,0.238431
ENSG00000257261,0.180327,1.64839,0.20625,2.83129,0.42368,0.961718
ENSG00000257262,0,0,0.16408,0,0.274017,0
ENSG00000257264,0.208683,0.158873,0.204362,0,0,0
ENSG00000257265,0,0,0,0,0,0
ENSG00000257268,0,0,0.164035,0,0,0
ENSG00000257270,0,0,0,0.20298,0,0
ENSG00000257272,0,0.263554,0.430663,0.130799,0.121461,0
ENSG00000257275,1.87738,1.42187,1.23052,0.474613,0.737172,0.605317
ENSG00000257277,0.973266,1.38356,2.58767,1.37275,0.919473,1.21389
ENSG00000257279,0,0,0.0154036,0.014123,0.0130117,0
ENSG00000257281,0,0,0,0.0588455,0,0
ENSG00000257283,0,0,0,0,0,0
ENSG00000257286,0,0,0,0,0,0
ENSG00000257288,0,0,0,0,0,0
ENSG00000257289,0,0,0,0,0,0
ENSG00000257294,0,0,0,0,0,0
ENSG00000257296,0,0,0,0,0,0
ENSG00000257298,0.252509,0.0509892,0.0836985,0.100086,0.0345242,0.0530203
ENSG00000257307,0.23691,0.21397,0,0,0,0
ENSG00000257308,0,0,0,0,0,0
ENSG00000257310,0,0,0,0,0,0
ENSG00000257322,0.228813,0.10352,0,0,0.140272,0.132005
ENSG00000257325,0,0,0,0,0,0
ENSG00000257327,0.124914,0.452057,0.122808,0.448109,0,0.24164
ENSG00000257329,0,0,0,0,0,0
ENSG00000257337,3.82386,4.69054,3.64569,1.84961,2.73568,1.64609
ENSG00000257341,0,0.46048,0,0.123942,0,0
ENSG00000257342,0,0,0,0,0,0
ENSG00000257343,0,0,0,0,0,0
ENSG00000257346,0,0,0.22635,0,0,0
ENSG00000257350,0,0,0,0,0,0
ENSG00000257355,0,0,0,0,0,0
ENSG00000257359,0,0,0,0,0,0
ENSG00000257360,0,0,0,0,0,0
ENSG00000257366,0,0,0.18536,0,0.141277,0.166301
ENSG00000257368,0,0,0,0,0,0
ENSG00000257373,0,0.148287,0,0,0,0.165732
ENSG00000257376,0.104487,0,0,0,0,0
ENSG00000257379,4.61196,2.78446,4.86843,6.19271,5.60522,3.73413
ENSG00000257384,1.93671,0,0,0,0,0
ENSG00000257386,0,0.267206,0.295253,0,0,0
ENSG00000257390,0.921625,1.18737,0,0.9985,1.32596,0.429829
ENSG00000257391,0.648438,0.555504,0.746998,0.473219,0.122928,0.259315
ENSG00000257395,0,0,0,0,0.0197681,0
ENSG00000257398,0.567019,0.101701,0,0,0.12385,0
ENSG00000257400,0,0,0,0,0,0
ENSG00000257403,0,0,0,0,1.02679,0
ENSG00000257404,0,0,0,0,0,0
ENSG00000257405,0,0,0,0,0,0
ENSG00000257407,0,0.226041,0,0.225683,0.0679763,0
ENSG00000257410,0,0,0,0,0,0
ENSG00000257411,0,0,0,0,0,0
ENSG00000257415,0,0,0,0,0,0
ENSG00000257429,0,0,0,0,0,0
ENSG00000257431,0.0799449,0.233129,0.166899,0.210789,0.0879951,0.0811346
ENSG00000257432,0,0,0,0,0,0
ENSG00000257434,0,0,0.16572,0,0,0
ENSG00000257435,0,0,0,0,0,0
ENSG00000257438,0.108202,0,0,0,0,0
ENSG00000257449,0.434737,0,0,1.96886,0,0
ENSG00000257452,0,0.140056,0.45821,0.278204,0,0
ENSG00000257454,0,0,0,0,0,0
ENSG00000257464,0,0,0,0,0,0
ENSG00000257470,0,0,0,0,0,0
ENSG00000257474,0,0.176969,0,0,0,0
ENSG00000257475,0.341945,0.309222,0.506567,0.795289,0,0.169393
ENSG00000257489,2.84297,3.11966,2.4676,2.555,3.27986,3.19409
ENSG00000257493,0,0,0,0.690413,0,0
ENSG00000257494,0,0,0,0,0,0
ENSG00000257496,0,0,0,0,0,0
ENSG00000257497,3.53249,4.10645,3.51764,3.45884,4.38547,3.63854
ENSG00000257500,0,0,0,0,0,0
ENSG00000257509,2.09063,1.26026,1.20475,0.469867,0.291434,0.170234
ENSG00000257511,1.89624,2.47244,2.52336,2.30662,1.62966,2.2497
ENSG00000257512,0,0.0595996,0.0643277,0,0,0.0628606
ENSG00000257514,0,0,0,0,0,0
ENSG00000257515,0,0,0,0,0,0
ENSG00000257517,0,0,0.24275,0,0,0
ENSG00000257519,1.30867,1.33117,1.13016,0.293922,0.81974,0
ENSG00000257520,0,0,0,0,0,0
ENSG00000257522,0.517127,0.516731,0.0263499,0.0120803,0.274461,0.0383942
ENSG00000257524,8.4032,5.90186,6.14825,7.48977,8.88317,6.36664
ENSG00000257526,0.564116,1.01963,0.289405,0,0.716505,0.280871
ENSG00000257527,0.726221,0.217309,1.04007,1.8537,0.688807,1.60446
ENSG00000257531,0,0,0,0,0,0
ENSG00000257534,0,0,0.318044,0,0.0896305,0.208183
ENSG00000257543,0,0,0,0,0,0
ENSG00000257545,0,0,0,0,0.261681,0.0380202
ENSG00000257548,0,0,0,0,0,0
ENSG00000257550,0,0,0,0.0255806,0,0
ENSG00000257553,0.234042,0,0.23256,0,0.394078,0.462621
ENSG00000257558,0,0,0,0,0,3.5299
ENSG00000257563,0,0,0.18536,0,0.141277,0.166301
ENSG00000257568,0.0931916,0,0.0913363,0.166894,0,0.0895307
ENSG00000257570,0,0,0,0,0,0
ENSG00000257579,0,0,0,0,0,0.18141
ENSG00000257580,0,0,0,0,0,0
ENSG00000257587,0,0,0,0,0,0
ENSG00000257604,1.29655,0,0,0,0,0
ENSG00000257607,0,0.0826753,0.0445139,0,0.150301,0.0433983
ENSG00000257609,0,0,0,0,0,0
ENSG00000257611,0,0,0,0,0,0
ENSG00000257614,0.114963,0.155779,0,0,0,0.173069
ENSG00000257616,0,0,0,0,0,0
ENSG00000257622,0.0384414,0,0.959313,0,2.94443,0
ENSG00000257624,0,0,0,0,0,0
ENSG00000257629,0,0,0,0,0,0
ENSG00000257635,0,0,0,0,0,0
ENSG00000257639,0,0,0,0,0,0.150348
ENSG00000257643,0,0.307472,0.340632,0,0,0
ENSG00000257644,0,0,0,0,0,0
ENSG00000257645,0,3.23794,0,0,0,0
ENSG00000257647,0,0,0,0,0,0
ENSG00000257653,0,0,0,0,0,0
ENSG00000257654,0,0,0,0,0,0
ENSG00000257657,0,0,0.111546,0,0.0219064,0
ENSG00000257658,0,0,0,0,0,0
ENSG00000257663,0,0,0,0,0,0
ENSG00000257668,0,0,0,0,0,0
ENSG00000257672,0,0,0,0,0,0
ENSG00000257674,0,0,0,0,0,0
ENSG00000257680,0,0,0,0,0,0
ENSG00000257681,3.8047,1.44996,2.92544,2.08583,2.59923,2.24819
ENSG00000257682,0,0,0,0,0,0
ENSG00000257687,0,0,0,0,0,0
ENSG00000257691,0,0,0,0,0,0
ENSG00000257703,0,0,0,0,0,0
ENSG00000257711,0,0.0443258,0.0962267,0.0145489,0.0134042,0.0462253
ENSG00000257715,0,0,0,0,0,0
ENSG00000257721,0,0,0,0,0,0
ENSG00000257726,0,0,0,0,0,0
ENSG00000257729,0,0,0,0,0,0
ENSG00000257731,0,0,0,0,0,0
ENSG00000257732,0,0,0,0,0,0
ENSG00000257735,0.485183,0.289173,0,0.143636,0,0
ENSG00000257737,0,0,0,0,0,0.397004
ENSG00000257740,0.513437,0,0.2304,0,0,0
ENSG00000257746,0,0,0,0,0,0
ENSG00000257752,0.354664,0.42783,0.464572,0.105982,0.68754,0.456671
ENSG00000257759,0,0.450682,0,0,0,0.154595
ENSG00000257761,0.052249,0.0710402,0.0254427,0.0466315,0.0214656,0.198001
ENSG00000257764,0.282973,0,0.400597,0,0.483782,0.446201
ENSG00000257766,0,0,0,0,0,0
ENSG00000257767,1.63526,3.43048,2.5692,6.98694,7.34088,0.321493
ENSG00000257769,0,0,0,0,0,0
ENSG00000257777,0,0,0,0,0,0
ENSG00000257781,0,0,0,0,0.192188,0
ENSG00000257787,0,0,0,0,0,0
ENSG00000257797,0,0,0,0,0,0
ENSG00000257808,0,0,0,0,0,0
ENSG00000257813,0,0,0,0,0,0
ENSG00000257826,0,0,0,0,0,0
ENSG00000257829,0,0,0,0,0,0
ENSG00000257830,0,0,0,0,0,0
ENSG00000257831,0,0.0711812,0,0,0,0
ENSG00000257835,0,0,0,0,0,0
ENSG00000257846,0,0,0,0,0,0
ENSG00000257848,0,0,0,0,0,0
ENSG00000257849,0,0,0,0,0,0
ENSG00000257855,0,0,0,0,0,0
ENSG00000257860,0,0,0,0,0,0
ENSG00000257863,0,0,0,0,0,0
ENSG00000257864,0,0,0,0,0,0
ENSG00000257869,0.738884,0.16703,0.186721,0.567803,0.364246,0.486652
ENSG00000257870,0,0.269067,0,0,0,0
ENSG00000257872,0,0,0,0,0,0
ENSG00000257875,0.193081,0,0.57302,0.173742,0,0
ENSG00000257878,0,0,0,0,0,0
ENSG00000257879,0,0,0,0,0,0
ENSG00000257880,0,0,0,0,0,0
ENSG00000257883,0,0,0,0,0,0
ENSG00000257884,0,0,0,0,0,0
ENSG00000257890,0,0,0,0,0,0
ENSG00000257891,0.496472,0.224351,0,0.895856,0,0
ENSG00000257894,0.725672,0.200015,0.336734,0.40194,0.0927522,0.112313
ENSG00000257896,0,0,0,0,0,0
ENSG00000257897,0,0,0,0,0,0
ENSG00000257900,8.60154,6.34951,8.77795,3.09139,4.51169,5.37851
ENSG00000257904,0,0,0,0,0,0
ENSG00000257905,0,0,0,0,0,0
ENSG00000257910,0,0,0,0.140469,0,0.152251
ENSG00000257918,0,0.178884,0,0,0,0
ENSG00000257921,0.498643,1.01129,0.824983,0.373164,2.25756,0.329441
ENSG00000257925,0,0,0,0,0,0
ENSG00000257932,0,0,0,0,0,0
ENSG00000257940,0.164534,0.150501,0,0,0,0.159057
ENSG00000257941,0,0,0,0,0,0
ENSG00000257943,0,0,0,0,0.0481271,0
ENSG00000257947,0,0,0,0,0,0
ENSG00000257951,0,0.136648,0,0,0,0
ENSG00000257953,0.428299,0,0.140628,0,0.356954,0.138599
ENSG00000257954,0.527517,0.715804,1.68661,0.473251,0.438989,1.14966
ENSG00000257955,0,0.217013,0.312811,0.071491,0,0
ENSG00000257958,0,0,0,0,0,0
ENSG00000257959,0,0,0,0,0,0
ENSG00000257964,0,0,0,0,0,0.152637
ENSG00000257976,0,0,0,0,0,0
ENSG00000257985,0,0,0.0211194,0,0,0
ENSG00000257989,0.182623,0,0,0.164253,0,0
ENSG00000257991,2.80978,0.282013,0,0,0,0
ENSG00000257995,0,0,0,0,0,0
ENSG00000257998,0,0,0,0,0,0
ENSG00000258007,0,0.146411,0,0.447913,0,0
ENSG00000258010,0.0369354,0.0669442,0,0,0.0303883,0.035071
ENSG00000258012,0,0,0,0,0,0
ENSG00000258017,1.45193,1.20058,1.62353,0.916303,1.48532,2.35261
ENSG00000258021,0,0,0,0,0,0
ENSG00000258028,0.0846984,0.153171,0.118681,0,0,0.0222995
ENSG00000258034,0,0,0,0,0,0
ENSG00000258035,0,0,0,0,0,0
ENSG00000258039,0,0,0,0,0,0
ENSG00000258044,0,0,0,0,0,0
ENSG00000258050,0,0,0,0,0,0
ENSG00000258051,0,0,0,0,0,0
ENSG00000258052,0,0.178065,0,0,0,0
ENSG00000258053,0,0.186918,0.20622,0.143648,0,0
ENSG00000258064,0.164806,0.521044,0,0,0,0
ENSG00000258065,0,0,0,0,0,0
ENSG00000258068,0,0,0,0,0,0.22063
ENSG00000258072,0.742263,0.895373,0.854573,0.554688,0.720625,0.479038
ENSG00000258073,0,0,0,0,0,0
ENSG00000258076,0,0,0,0,0,0
ENSG00000258077,0,0.105214,0,0,0,0
ENSG00000258081,0.143737,0,0.316782,0,0,0
ENSG00000258082,0,0,0,0,0,0
ENSG00000258084,0,0,0,0.0266847,0,0
ENSG00000258086,0,0,0,0,0,0
ENSG00000258088,0,0,0,0,0,0
ENSG00000258090,0,0,0,0,0,0
ENSG00000258091,0,0,0,0,0,0
ENSG00000258092,0.471527,0,0,0,0,0
ENSG00000258101,0.0989567,0.0448276,0.193173,0.13263,0.203849,0.0942074
ENSG00000258107,0,0,0,0,0,0
ENSG00000258108,0,0,0,0,0,0
ENSG00000258111,0.509889,0,0,0,0,0
ENSG00000258114,0,0,0,0,0,0
ENSG00000258115,0.0973127,0.00115072,0.0954126,0,0.161296,0.0935708
ENSG00000258117,0,0,0,0.368572,0.343526,0
ENSG00000258119,0,0.228058,0,0.11339,0,0
ENSG00000258121,0,0,0,0.155597,0,0
ENSG00000258122,0.234042,0.423066,0.23256,0.422094,0.197039,0.693932
ENSG00000258125,0,0,1.27773,0,0,0
ENSG00000258130,0.208832,0.299222,0.40528,0.260671,0.131169,0
ENSG00000258131,0,0,0,0,0,0
ENSG00000258133,0,0,0,0,0,0
ENSG00000258134,0,0,0,0,0,0
ENSG00000258136,0.12622,0,0.0820743,0.0375797,0.0346371,0.0799849
ENSG00000258137,0.183142,0,0.65685,0,0,0.154986
ENSG00000258140,0,0,0.0538709,0.0485824,0,0.053961
ENSG00000258150,0.020858,0,0,0.0186299,0,0
ENSG00000258162,0.222439,0.10064,0.0387299,0.106412,0.0923217,0.321743
ENSG00000258167,0,0,0,0,0,0
ENSG00000258168,0.164426,0.214362,0.162287,0.0595126,0.137341,0.0420026
ENSG00000258170,0,0,0.352774,0,0.06339,0
ENSG00000258172,0.772324,1.04687,0.382013,0.173742,0,0.1893
ENSG00000258177,0,0,0,0,0,0
ENSG00000258178,0.641204,0.844844,0.626367,0.104215,0.0961657,0.0555959
ENSG00000258179,0,0,0,0,0,0
ENSG00000258181,0,0.456288,1.0195,0,0,0
ENSG00000258184,0,0,0,0,0,0
ENSG00000258185,0,0,0,0,0,0
ENSG00000258196,0.237409,0,0.236001,0,0,0
ENSG00000258199,2.72239,3.01963,3.05598,3.23277,1.13858,3.03078
ENSG00000258203,0,0,0,0,0,0
ENSG00000258204,0,0,0,0,0,0
ENSG00000258205,0,0,0,0,0,0
ENSG00000258210,2.53107,3.8352,3.30458,2.2799,1.96884,0.878977
ENSG00000258215,0,0,0,0,0,0
ENSG00000258216,0.12467,0,0,0,0,0
ENSG00000258225,0,0,0,0,0,0
ENSG00000258230,1.45909,0.749813,0.776994,0.707534,0,1.29786
ENSG00000258231,0.0794243,0,0,0,0,0
ENSG00000258232,0,0,0,0,0,0
ENSG00000258234,0,0.143156,0,0,0,0
ENSG00000258235,0,0,0,0,0,0
ENSG00000258240,0.783403,0.436737,0,0.536775,0.397476,0
ENSG00000258249,0,0,0,0,0,0
ENSG00000258256,0.70207,0.394863,0.19974,0.409235,0.0844214,0
ENSG00000258260,0,0,0.332328,0,0,0
ENSG00000258262,0,0,0,0,0,0
ENSG00000258271,0,0.214598,0,0,0,0
ENSG00000258273,0,0,0,0,0,0
ENSG00000258274,0,0,0.043729,0,0.110736,0
ENSG00000258283,0,0.450092,0,0.901051,0.858904,0
ENSG00000258294,0.497052,0,0,0,0,0
ENSG00000258302,0.164923,0.112085,0.281484,0.220953,0.1697,0.0391846
ENSG00000258303,0.207268,0,0,0.0928428,0.0868591,0.399115
ENSG00000258308,0.0732859,0,0,0.219802,0.0605618,0
ENSG00000258311,2.22438,1.60076,3.01369,2.48844,1.78988,2.5984
ENSG00000258312,0.356173,0,0,0.160105,0,0
ENSG00000258314,1.55113,2.5216,3.8646,2.16888,1.9763,2.97521
ENSG00000258317,0.177567,0,0,0,0,0
ENSG00000258320,0,0,0,0,0,0
ENSG00000258323,0.368199,0,0.297304,0,0.124138,0.289697
ENSG00000258337,2.31697,1.39583,2.29208,0,0.323644,0.567899
ENSG00000258342,0.47929,0.0862432,0.0981648,0.208093,0.0793622,0.274728
ENSG00000258344,0,0,0,0,0,0
ENSG00000258345,0,0,0.205356,0.186682,0,0
ENSG00000258346,0,0,0,0,0,0
ENSG00000258354,0.468529,0.579043,0.18536,0.343064,0.141277,0.166301
ENSG00000258355,0,0.366528,0,0,0,0
ENSG00000258358,0,0,0,0,0,0
ENSG00000258364,0,0,0,0,0,0
ENSG00000258365,4.27639,5.48813,5.61042,4.05257,4.47165,8.55616
ENSG00000258367,0,0.236325,0.287365,0.240536,0,0.26147
ENSG00000258375,0.0719663,0.0633366,0,0,0.0547856,0
ENSG00000258377,0.0553534,0.175604,0.134792,0,0.0227452,0.0786873
ENSG00000258378,0,0.210017,0.461723,0,0,0
ENSG00000258379,0,0,0,0,0,0
ENSG00000258383,0,0,0,0,0,0
ENSG00000258385,0,0,0.0271949,0,0,0
ENSG00000258393,0.377173,0.0853529,0,0.084436,0,0.18122
ENSG00000258394,0,0.163733,0,0,0,0
ENSG00000258399,0,0,0,0,0,0
ENSG00000258400,0,0.142456,0,0,0,0
ENSG00000258402,0.113215,0,0.0221942,0,0,0
ENSG00000258410,1.09194,1.41075,0.61546,0.700616,0.781152,1.21493
ENSG00000258412,0,0,0.636821,0,0,0
ENSG00000258417,0,0,0,0,0,0
ENSG00000258419,0,0,0,0,0,0
ENSG00000258422,0.189025,0.709993,0.48408,0.580848,0.133846,0.300695
ENSG00000258424,0,0,0,0,0,0
ENSG00000258425,0,0,0,0,0,0
ENSG00000258426,0,0,0,0,0,0
ENSG00000258428,0,0,0,0,0,0
ENSG00000258430,0.382975,0,0.251079,0.45802,0,0.123547
ENSG00000258433,0.0535904,0,0,0.145877,0,0.0510617
ENSG00000258435,0,0,0,0,0,0
ENSG00000258437,0,0,0,0,0,0
ENSG00000258439,0,0,0,0,0,0
ENSG00000258440,0,0,0,0,0,0
ENSG00000258443,0,0,0,0,0,0.0790589
ENSG00000258446,1.70813,0,0.860823,0.386703,0,0.431308
ENSG00000258448,0,0,0,0,0,0
ENSG00000258449,0,0,0,0,0,0
ENSG00000258450,1.32571,1.9169,1.32089,0.958006,0.896337,0.790643
ENSG00000258454,1.42868,0.322918,0.176497,0.160552,0,0.174657
ENSG00000258455,0,0,0,0,0,0
ENSG00000258459,0,0,0,0,0,0
ENSG00000258461,0.396332,0.329212,0,0.830921,0.49856,0.663103
ENSG00000258464,0,0,0,0,0,0
ENSG00000258465,0,0.141388,0.28701,0.639133,0.48089,0
ENSG00000258466,1.22483,1.17041,1.39367,1.12195,1.7249,3.44278
ENSG00000258471,0.0500213,0,0,0,0,0
ENSG00000258472,0.50621,0.984318,0.73289,0.548707,0.674289,0.723264
ENSG00000258473,0,0,0,0,0,0
ENSG00000258481,0,0,0,0,0,0
